# DCS_Hosts.txt downloaded from http://www.pistar.uk/downloads/DCS_Hosts.txt
# DCS Hosts resolved from xreflector.net DNS, with additional hosts
# sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistarusergroup/
# File updated on Thursday 30th of December 2021
DCS000	45.62.230.56
DCS001	5.252.227.231
DCS002	185.228.139.209
DCS003	176.10.105.254
DCS004	77.243.52.148
DCS005	87.117.229.51	L
DCS006	198.133.14.38	L
DCS007	44.137.42.27
DCS008	87.106.84.53
DCS009	89.185.97.35
DCS010	85.197.129.86	L
DCS011	81.95.126.168
DCS012	194.38.140.205	L
DCS013	195.159.104.200
DCS014	52.63.223.130
DCS015	194.59.205.228
DCS016	87.106.3.249
DCS017	201.62.48.60
DCS018	161.97.73.43
DCS019	31.7.247.58
DCS020	75.76.90.90
DCS021	5.175.14.43
DCS022	157.7.142.179
DCS023	77.85.192.94
DCS024	75.151.47.163
DCS025	87.229.30.227
DCS026	209.42.149.140
DCS027	128.199.57.19
DCS028	216.128.130.30
DCS030	194.59.177.44
DCS032	158.64.26.140
DCS033	152.228.170.16
DCS034	dcs034.xreflector.net
DCS035	45.79.94.184
DCS036	45.32.160.226
DCS037	198.100.154.155
DCS038	44.103.34.19
DCS039	212.237.3.90
DCS040	185.11.166.85
DCS041	66.30.219.127
DCS042	96.3.46.120
DCS043	206.189.239.225
DCS044	77.243.52.148
DCS045	70.44.20.24
DCS046	186.103.150.254
DCS047	202.171.147.58
DCS048	104.225.220.231
DCS049	212.71.234.224
DCS050	140.82.51.26
DCS051	93.186.254.219
DCS052	128.22.149.69
DCS053	10.49.243.18
DCS054	208.104.55.181
DCS055	52.80.4.154
DCS056	66.42.126.197
DCS057	216.84.141.161
DCS058	150.66.16.176
DCS059	18.219.32.21
DCS060	45.76.133.116
DCS061	192.248.160.49
DCS063	93.49.253.148
DCS064	122.222.1.50
DCS065	114.109.132.233
DCS067	104.192.107.31
DCS068	92.222.145.202
DCS069	51.77.213.200
DCS070	18.130.199.150
DCS071	211.60.41.185
DCS072	45.22.199.201
DCS073	45.77.192.120
DCS074	212.237.211.82
DCS075	211.60.41.186
DCS076	203.137.116.117
DCS077	23.94.25.146
DCS078	18.236.66.239
DCS080	121.85.172.176
DCS081	121.81.38.179
DCS084	136.244.64.57
DCS085	113.150.26.8
DCS086	140.179.13.243
DCS087	44.137.36.209
DCS088	194.109.192.235
DCS090	18.234.51.231
DCS091	82.223.20.103
DCS092	80.211.182.156
DCS093	185.177.59.221
DCS094	96.126.124.4
DCS095	203.137.76.53
DCS096	125.135.231.82
DCS097	89.223.121.170
DCS098	125.198.183.239
DCS099	80.211.27.75
DCS100	71.41.121.229
DCS101	45.62.249.45
DCS102	24.172.229.151
DCS103	24.172.229.152
DCS104	24.172.229.153
DCS105	51.254.99.78
DCS106	68.51.221.108
DCS107	114.115.167.98
DCS108	126.16.174.206
DCS109	118.236.208.220
DCS110	140.82.14.24
DCS111	61.195.96.160
DCS112	173.82.140.24
DCS113	115.159.93.156
DCS115	217.182.128.3
DCS116	80.211.90.242
DCS117	179.27.65.214
DCS118	5.249.148.252
DCS119	201.217.131.123
DCS120	81.150.10.63
DCS121	3.214.173.78
DCS122	194.37.80.40
DCS123	152.67.150.221
DCS124	211.14.169.234
DCS125	213.181.208.52
DCS126	217.173.179.95
DCS129	150.66.36.114
DCS131	147.78.237.130
DCS132	91.203.55.87
DCS133	62.220.129.89
DCS136	153.185.80.243
DCS137	52.144.45.23
DCS138	103.195.7.20
DCS139	66.42.93.25
DCS140	95.211.211.145
DCS141	3.19.122.217
DCS144	54.188.28.93
DCS147	124.123.68.50
DCS149	122.154.140.136
DCS150	192.241.158.197
DCS151	122.154.141.53
DCS153	70.93.81.183
DCS154	114.153.3.72
DCS155	217.182.156.151
DCS157	83.38.75.161
DCS160	61.195.109.179
DCS162	212.91.190.81
DCS163	45.143.93.75
DCS168	123.139.189.182
DCS170	37.48.90.213
DCS171	194.87.145.34
DCS173	99.145.170.193
DCS174	81.169.128.244
DCS175	162.248.92.25
DCS176	128.22.152.69
DCS177	51.77.151.223
DCS178	178.251.180.148
DCS180	192.241.240.7
DCS183	45.32.75.47
DCS190	190.194.12.53
DCS191	153.92.4.97
DCS192	118.27.9.127
DCS196	64.179.223.222
DCS199	86.14.107.255
DCS200	44.31.61.66
DCS201	157.245.45.67
DCS204	77.162.87.115
DCS206	193.190.240.227
DCS207	150.129.138.49
DCS208	213.186.34.50
DCS209	173.247.7.157
DCS210	51.68.226.67
DCS211	47.110.34.230
DCS212	52.38.90.188
DCS213	190.213.202.21
DCS214	80.211.94.145
DCS216	74.214.25.135
DCS217	98.100.25.218
DCS218	51.222.85.251
DCS219	3.225.138.100
DCS220	124.41.83.11
DCS221	44.103.34.21
DCS222	93.186.251.81
DCS223	87.106.152.249
DCS224	203.137.99.97
DCS225	61.195.108.252
DCS226	91.212.192.86
DCS227	89.33.44.100
DCS228	92.106.204.96
DCS229	195.49.75.204
DCS230	80.250.3.114
DCS231	217.133.7.72
DCS232	89.185.97.35
DCS235	51.195.221.249
DCS236	209.190.4.10
DCS237	74.196.158.133
DCS238	95.154.31.11
DCS239	149.28.115.164
DCS240	107.141.52.226
DCS241	51.83.98.154
DCS242	66.42.84.85
DCS244	72.14.187.79
DCS245	192.248.165.35
DCS246	172.93.48.159
DCS247	136.244.97.211
DCS248	45.63.99.4
DCS250	44.159.15.2
DCS254	184.82.171.32
DCS255	142.91.158.199
DCS256	162.238.214.18
DCS257	45.89.88.118
DCS258	45.22.199.202
DCS260	80.211.208.227
DCS262	92.194.198.84
DCS263	85.214.92.118
DCS264	52.2.131.118
DCS266	62.171.178.202
DCS267	91.209.16.180
DCS268	185.11.166.22
DCS270	158.64.26.132
DCS271	217.61.23.253
DCS272	69.164.222.129
DCS277	63.78.117.77
DCS280	79.32.118.56
DCS281	74.91.126.68
DCS284	85.187.70.88
DCS286	93.186.113.147
DCS287	66.42.109.165
DCS290	44.182.7.20
DCS291	101.143.242.189
DCS295	45.62.232.38
DCS298	122.130.91.19
DCS299	202.36.45.107
DCS300	64.227.109.134
DCS301	124.187.44.129
DCS302	144.217.241.23
DCS303	75.70.52.143
DCS304	142.93.246.87
DCS305	178.250.54.203
DCS307	72.21.76.154
DCS308	18.117.43.70
DCS311	176.198.15.34
DCS312	192.241.160.183
DCS313	34.213.108.164
DCS314	186.18.41.172
DCS316	68.102.158.103
DCS317	44.48.8.15
DCS319	96.3.68.181
DCS321	31.207.110.45
DCS322	76.219.234.40
DCS325	168.235.80.185
DCS326	61.195.125.193
DCS327	104.238.156.182
DCS328	212.237.33.114
DCS329	60.35.179.46
DCS330	44.70.49.128
DCS332	188.213.168.99
DCS334	96.47.95.121
DCS335	75.137.246.19
DCS336	107.161.22.162
DCS337	20.118.24.47
DCS338	220.135.135.3
DCS339	81.14.225.84
DCS345	212.114.109.209
DCS350	220.99.38.66
DCS351	45.33.127.97
DCS353	44.155.254.12
DCS356	217.174.61.117
DCS357	194.146.235.34
DCS358	93.152.167.4
DCS359	94.156.172.213
DCS360	150.66.52.109
DCS362	198.166.220.68
DCS364	159.65.231.53
DCS365	222.6.234.205
DCS367	18.216.66.72
DCS369	72.89.122.8
DCS370	188.213.168.24
DCS371	212.237.8.77
DCS373	119.231.9.171
DCS374	68.183.19.139
DCS375	46.173.218.79
DCS376	70.35.197.252
DCS377	186.159.96.100
DCS379	74.91.117.153
DCS381	74.91.114.100
DCS383	157.90.255.94
DCS385	141.138.10.86
DCS386	13.67.140.85
DCS387	209.250.237.53
DCS388	52.207.2.10
DCS390	185.82.114.247
DCS391	185.82.114.246
DCS393	139.91.92.211
DCS395	95.255.196.50
DCS400	18.189.232.40
DCS401	178.194.35.160
DCS402	71.8.194.163
DCS403	13.211.74.94
DCS404	91.229.143.187
DCS405	172.105.11.104
DCS406	45.62.251.78
DCS407	68.204.92.9
DCS408	142.47.223.22
DCS410	162.209.78.83
DCS411	45.19.176.12
DCS412	61.195.107.113
DCS414	66.42.113.132
DCS416	70.50.218.37
DCS417	104.222.122.253
DCS418	138.197.136.190
DCS419	44.70.25.173
DCS420	149.28.54.17
DCS421	118.189.181.236
DCS422	84.140.28.53
DCS423	155.138.197.71
DCS425	78.121.109.81
DCS427	68.230.147.59
DCS430	27.93.28.237
DCS431	61.195.98.225
DCS432	103.4.234.160
DCS434	51.254.128.134
DCS435	128.22.130.154
DCS436	131.129.164.215
DCS439	79.35.245.96
DCS440	218.251.80.22
DCS441	203.137.99.110
DCS445	18.221.229.191
DCS446	75.187.166.206
