# DPlus_Hosts.txt downloaded from http://www.pistar.uk/downloads/DPlus_Hosts.txt
# DPlus Hosts resolved from dstargateway.org DNS, with additional hosts
# sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistarusergroup/
# File updated on Saturday 1st of January 2022
REF000	45.62.230.56
REF001	104.237.157.7
REF002	71.8.217.242
REF003	203.194.18.195
REF004	44.103.34.20
REF005	192.3.202.53
REF006	81.2.72.40
REF007	81.2.72.55
REF008	58.12.161.10
REF009	204.89.198.18
REF010	173.14.57.146
REF011	195.78.217.101
REF012	209.112.244.26
REF013	109.69.104.195
REF014	64.250.229.185
REF015	109.69.104.196
REF016	67.210.212.136
REF017	44.137.42.28
REF018	179.191.73.102
REF019	209.242.228.27
REF020	52.23.107.220
REF021	192.3.202.54
REF022	52.32.64.78
REF023	44.190.8.2
REF024	69.41.0.15
REF025	107.161.29.191
REF026	206.12.104.8
REF027	194.116.29.72
REF028	193.190.240.229
REF029	129.123.74.229
REF030	45.79.43.161
REF031	79.136.93.241
REF032	95.160.56.46
REF033	192.92.237.247
REF034	74.81.71.218
REF035	146.129.247.243
REF036	195.194.238.109
REF037	66.158.192.62
REF038	44.103.34.18
REF039	208.93.191.20
REF040	94.46.216.197
REF041	129.105.15.195
REF042	151.249.104.38
REF043	176.10.140.189
REF044	208.43.162.89
REF045	195.251.201.214
REF046	173.230.131.217
REF047	157.7.142.13
REF048	208.88.66.244
REF049	72.249.9.66
REF050	75.147.26.195
REF051	50.57.153.17
REF052	12.5.239.46
REF053	216.243.174.245
REF054	52.86.120.0
REF055	207.251.48.194
REF056	45.56.113.164
REF057	216.84.141.161
REF058	131.204.255.253
REF059	104.131.247.122
REF060	50.194.6.1
REF061	204.152.199.103
REF062	72.17.20.174
REF063	66.207.131.4
REF064	61.195.99.81
REF065	74.207.252.19
REF066	173.255.196.45
REF067	44.34.128.167
REF068	92.222.145.197
REF069	184.185.89.43
REF070	44.10.10.20
REF071	61.195.97.218
REF072	96.92.65.12
REF073	68.67.124.145
REF074	68.67.124.146
REF075	51.254.220.4
REF076	203.137.112.200
REF077	50.116.34.190
REF078	204.15.204.154
REF079	62.255.210.254
REF080	82.223.13.53
REF081	172.104.92.125
REF082	106.240.237.114
REF083	3.208.116.75
REF084	51.83.45.178
REF085	203.74.132.35
REF086	216.126.221.240
REF087	119.59.116.122
REF088	198.74.51.181
REF089	68.49.95.72
REF090	96.47.95.67
REF091	103.251.175.56
REF092	70.35.199.46
REF093	185.177.59.221
REF094	96.126.124.4
REF095	203.137.76.53
REF096	125.135.231.82
REF097	89.223.121.170
REF098	125.198.183.239
REF099	80.211.27.75
REF100	71.41.121.229
REF101	45.62.249.45
REF102	24.172.229.151
REF103	24.172.229.152
REF104	24.172.229.153
REF105	51.254.99.78
REF106	68.51.221.108
REF107	114.115.167.98
REF108	126.16.174.206
REF109	118.236.208.220
REF110	140.82.14.24
REF111	61.195.96.160
REF112	173.82.140.24
REF113	115.159.93.156
REF114	138.197.101.52
REF115	217.182.128.3
REF116	80.211.90.242
REF117	179.27.65.214
REF118	5.249.148.252
REF119	201.217.131.123
REF120	81.150.10.63
REF121	3.214.173.78
REF122	194.37.80.40
REF123	152.67.150.221
REF124	211.14.169.234
REF125	213.181.208.52
REF126	217.173.179.95
REF129	150.66.36.114
REF131	147.78.237.130
REF132	91.203.55.87
REF133	62.220.129.89
REF136	153.185.80.243
REF137	52.144.45.23
REF138	103.195.7.20
REF139	66.42.93.25
REF140	95.211.211.145
REF141	3.19.122.217
REF144	54.188.28.93
REF147	124.123.68.50
REF149	122.154.140.136
REF150	192.241.158.197
REF151	122.154.141.53
REF153	70.93.81.183
REF154	114.153.3.72
REF155	217.182.156.151
REF157	83.47.212.195
REF160	61.195.109.179
REF162	212.91.190.81
REF163	45.143.93.75
REF168	123.139.189.182
REF170	37.48.90.213
REF171	194.87.145.34
REF173	99.145.170.193
REF174	81.169.128.244
REF175	162.248.92.25
REF176	128.22.152.69
REF177	51.77.151.223
REF178	178.251.180.150
REF180	192.241.240.7
REF183	45.32.75.47
REF190	190.194.12.53
REF191	153.92.4.97
REF192	118.27.9.127
REF196	64.179.223.222
REF199	86.14.107.255
REF200	44.31.61.66
REF201	157.245.45.67
REF204	77.162.87.115
REF206	193.190.240.227
REF207	153.37.53.239
REF208	213.186.34.50
REF209	173.247.7.157
REF210	51.68.226.67
REF211	47.110.34.230
REF212	52.38.90.188
REF213	190.213.202.21
REF214	80.211.94.145
REF215	24.48.232.244
REF216	74.214.25.135
REF217	98.100.25.218
REF218	51.222.85.251
REF219	3.225.138.100
REF220	124.41.83.11
REF221	44.103.34.21
REF222	93.186.251.81
REF223	87.106.152.249
REF224	203.137.99.97
REF225	61.195.108.252
REF226	91.212.192.86
REF227	89.33.44.100
REF228	92.106.204.96
REF229	195.49.75.204
REF230	80.250.3.114
REF231	217.133.7.72
REF232	89.185.97.35
REF235	51.195.221.249
REF236	209.190.4.10
REF237	74.196.158.133
REF238	95.154.31.11
REF239	149.28.115.164
REF240	107.141.52.226
REF241	51.83.98.154
REF242	66.42.84.85
REF244	72.14.187.79
REF245	192.248.165.35
REF246	172.93.48.159
REF247	136.244.97.211
REF248	45.63.99.4
REF250	44.159.15.2
REF254	184.82.171.32
REF255	142.91.158.199
REF256	162.238.214.18
REF257	45.89.88.118
REF258	45.22.199.202
REF260	80.211.208.227
REF262	92.194.254.81
REF263	85.214.92.118
REF264	52.2.131.118
REF266	62.171.178.202
REF267	91.209.16.180
REF268	185.11.166.22
REF270	158.64.26.132
REF271	217.61.23.253
REF272	69.164.222.129
REF277	63.78.117.77
REF280	79.32.118.56
REF281	74.91.126.68
REF284	85.187.70.88
REF286	93.186.113.147
REF287	66.42.109.165
REF290	44.182.7.20
REF291	101.143.242.189
REF295	45.62.232.38
REF298	122.130.91.19
REF299	202.36.45.107
REF300	64.227.109.134
REF301	124.187.44.129
REF302	144.217.241.23
REF303	75.70.52.143
REF304	142.93.246.87
REF305	178.250.54.203
REF307	72.21.76.154
REF308	18.117.43.70
REF311	176.198.15.34
REF312	192.241.160.183
REF313	34.213.108.164
REF314	186.18.41.172
REF316	68.102.158.103
REF317	44.48.8.15
REF319	96.3.68.181
REF321	31.207.110.45
REF322	76.219.234.40
REF325	168.235.80.185
REF326	61.195.125.193
REF327	104.238.156.182
REF328	212.237.33.114
REF329	60.35.179.46
REF330	44.70.49.128
REF332	188.213.168.99
REF333	46.149.220.118
REF334	96.47.95.121
REF335	75.137.246.19
REF336	107.161.22.162
REF337	20.118.24.47
REF338	220.135.135.3
REF339	81.14.225.84
REF345	212.114.109.209
REF350	220.99.38.66
REF351	45.33.127.97
REF353	44.155.254.12
REF356	217.174.61.117
REF357	194.146.235.34
REF358	93.152.167.4
REF359	94.156.172.213
REF360	150.66.52.109
REF362	198.166.220.68
REF364	159.65.231.53
REF365	222.6.234.205
REF367	18.216.66.72
REF369	72.89.122.8
REF370	188.213.168.24
REF371	212.237.8.77
REF373	119.231.9.171
REF374	68.183.19.139
REF375	46.173.218.79
REF376	70.35.197.252
REF377	186.159.96.100
REF379	74.91.117.153
REF381	74.91.114.100
REF383	157.90.255.94
REF385	141.138.10.86
REF386	13.67.140.85
REF387	209.250.237.53
REF388	52.207.2.10
REF390	185.82.114.247
REF391	185.82.114.246
REF393	139.91.92.211
REF395	95.255.196.50
REF400	18.189.232.40
REF401	178.194.35.160
REF402	71.8.194.163
REF403	13.211.74.94
REF404	91.229.143.187
REF405	172.105.11.104
REF406	45.62.251.78
REF407	68.204.92.9
REF408	142.47.223.22
REF410	162.209.78.83
REF411	45.19.176.12
REF412	61.195.107.113
REF414	66.42.113.132
REF416	70.50.218.37
REF417	104.222.122.253
REF418	138.197.136.190
REF419	44.70.25.173
REF420	149.28.54.17
REF421	118.189.181.236
REF422	84.140.28.53
REF423	155.138.197.71
REF425	78.121.109.81
REF427	68.230.147.59
REF430	27.93.28.237
REF431	61.195.98.225
REF432	103.4.234.160
REF434	51.254.128.134
REF435	128.22.130.154
REF436	131.129.164.215
REF439	79.35.245.96
REF440	218.251.80.22
REF441	203.137.99.110
REF445	18.221.229.191
REF446	75.187.166.206
REF449	75.68.41.0
REF453	61.239.171.240
REF454	218.103.102.5
REF455	208.71.169.83
REF456	54.37.205.183
REF459	150.66.16.108
REF466	155.138.228.137
REF467	153.126.179.214
REF469	70.35.240.23
REF470	104.153.108.131
REF475	118.27.35.184
REF476	171.33.84.7
REF477	86.26.29.17
REF478	52.15.234.145
REF479	198.58.106.10
REF480	95.179.145.178
REF483	74.91.117.184
REF486	51.91.109.81
REF493	104.218.221.46
REF499	203.137.76.22
REF500	44.136.58.10
REF501	198.211.98.63
REF502	190.148.222.28
REF503	179.51.0.153
REF504	200.52.151.155
REF505	45.248.50.37
REF507	190.123.237.11
REF508	185.188.4.15
REF510	61.195.126.75
REF511	93.103.146.221
REF512	155.138.252.251
REF513	144.202.99.80
REF514	203.137.118.143
REF515	203.137.78.35
REF516	47.100.29.86
REF518	176.9.1.168
REF519	104.152.208.69
REF520	44.159.15.1
REF522	103.197.58.223
REF523	42.191.245.173
REF526	192.243.109.252
REF530	119.224.19.178
REF531	149.28.170.145
REF532	20.92.110.91
REF534	210.14.26.149
REF535	44.159.12.12
REF538	183.77.43.114
REF543	161.97.112.218
REF544	44.20.29.234
REF545	3.215.215.169
REF547	45.32.136.100
REF550	178.62.80.22
REF551	140.227.198.45
REF553	45.79.92.86
REF555	95.116.55.6
REF556	68.183.195.21
REF557	196.42.34.18
REF558	34.133.100.166
REF559	5.185.12.29
REF560	150.66.42.72
REF561	128.22.133.152
REF567	157.245.59.253
REF571	186.29.69.77
REF575	207.251.56.142
REF580	153.185.79.55
REF583	211.132.43.216
REF585	213.212.133.250
REF587	104.8.207.66
REF599	150.66.25.83
REF600	161.97.181.4
REF602	212.56.100.200
REF603	185.29.204.24
REF604	139.162.241.24
REF606	62.3.64.165
REF608	219.122.253.83
REF610	213.21.184.66
REF612	185.231.245.31
REF613	198.50.202.39
REF616	103.156.68.246
REF619	167.99.168.82
REF620	61.195.108.241
REF621	209.182.218.92
REF625	68.55.78.195
REF626	158.101.149.128
REF630	61.195.125.81
REF632	64.91.238.36
REF633	75.135.199.237
REF634	150.66.9.57
REF636	77.38.191.5
REF645	34.196.134.215
REF650	218.42.17.240
REF651	104.143.94.48
REF655	146.64.235.19
REF659	104.131.106.247
REF660	150.31.129.107
REF666	95.179.179.175
REF672	51.195.200.71
REF673	180.147.243.178
REF678	37.187.17.42
REF679	45.79.180.62
REF680	180.36.150.165
REF684	80.211.167.192
REF687	47.186.72.127
REF688	54.89.57.238
REF689	97.107.128.47
REF691	58.82.172.177
REF698	85.197.129.86
REF699	82.102.5.239
REF701	61.195.107.77
REF704	150.66.34.110
REF705	128.22.134.161
REF706	93.186.255.126
REF707	90.145.156.242
REF708	150.66.20.222
REF709	212.237.34.32
